,business_id,name,address,city,state,postal_code,latitude,longitude
1375,5272,PAN-O-RAMA,500 FLORIDA ST ,San Francisco,CA,94110,37.762921,-122.411254
1376,5278,WILLIAMS-SONOMA,2000 CHESTNUT ST ,San Francisco,CA,94123,37.800797,-122.436684
1377,5281,EVA'S CATERING, PIER 45  ,San Francisco,CA,94122,37.8101189,-122.4177161
1378,5289,"SAN FRANCISCO CREPE CO, INC",350 11TH ST ,San Francisco,CA,94103,37.774722,-122.406761
1379,5291,EL TONAYENSE CATERING TRUCK,3101 19TH ST ,San Francisco,CA,94110,37.760583,-122.413239
1380,5297,EL NORTENO,801 BRYANT ST ,San Francisco,CA,94103,37.776011,-122.402466
1381,5301,TACOS SAN BUENA,2598 HARRISON ST ,San Francisco,CA,94110,37.749851,-122.415121
1382,5307,SAN FRANCISCO ZOO WAREHOUSE,1 ZOO RD ,San Francisco,CA,94132,37.73017,-122.502535
1383,5310,"ALIOTO FISH CO., LTD",360A JEFFERSON ST ,San Francisco,CA,94133,37.80792,-122.418577
1384,5312,THE WATERFRONT,PIER 9,San Francisco,CA,94111,37.8007914,-122.396552993
1385,5313,S.F. BAY CONCESSIONAIRES COMMISSARY,PIER 41,San Francisco,CA,94133,37.8094742,-122.4118508
1386,5314,GUARDINO'S INC,PIER 47 EXT,San Francisco,CA,94133,37.790805,-122.4036823
1387,5316,NICK'S LIGHTHOUSE,PIER 45  SHED B SPACE 1A,San Francisco,CA,94133,37.790805,-122.4036823
1388,5322,CRAB STATION AT FISHERMAN'S WHARF,PIER 45  SHED B UNIT D,San Francisco,CA,94133,37.790805,-122.4036823
1389,5325,SAN FRANCISCO SOUP COMPANY,451 06TH ST ,San Francisco,CA,94103,37.776775,-122.403305
1390,5326,JUNE TAYLOR COMPANY,1 FERRY BUILDING  #50,San Francisco,CA,94111,37.790805,-122.4036823
1391,5329,QUICK-N-EZEE INDIAN FOODS,1 FERRY BUILDING  #50,San Francisco,CA,94111,37.790805,-122.4036823
1392,5345,QUICK-N-EZEE,1 UNITED NATIONS PLZ ,San Francisco,CA,94102,37.779892,-122.413625
1393,5375,DELLA FATTORIA,1 FERRY BUILDING  #50,San Francisco,CA,94111,37.790805,-122.4036823
1394,5394,ACME BREAD CO,1 FERRY BUILDING  #50,San Francisco,CA,94111,37.790805,-122.4036823
1395,5397,"DOWNTOWN BAKERY & CREAMERY, INC",1 FERRY BUILDING  #50,San Francisco,CA,94111,37.790805,-122.4036823
1396,5409,KIEM'S SEAFOOD,1 UNITED NATIONS PLAZA  ,San Francisco,CA,94102,37.779892,-122.413625
1397,5418,LOPEZ PRODUCE, HARRISON & 22ND ST ,San Francisco,CA,94110,37.790805,-122.4036823
1398,5420,CATER THYME,1 UNITED NATIONS PLZ ,San Francisco,CA,94102,37.779892,-122.413625
1399,5430,ANNIE'S HOT DOGS, POWELL & MARKET ST (S/E),San Francisco,CA,94102,37.779847,-122.418985
1400,5434,ANNIE'S HOT DOGS, STOCKTON & O'FARRELL ST (N/W),San Francisco,CA,94102,37.779847,-122.418985
1401,5437,STANLEY'S STEAMERS, NW CORNER POST AT STOCKTON ST (N/W),San Francisco,CA,94108,37.791586,-122.408452
1402,5441,ANNIE'S HOT DOGS,STOCKTON & MARKET & ELLIS ST (NW),San Francisco,CA,94102,37.779847,-122.418985
1403,5448,AT&T - (CART 1)  DOGGIE DINNER [145089],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1404,5449,AT&T - (CART 2)  DELI [145090],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1405,5450,AT&T - (CART 3)  SOUP [145091],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1406,5451,AT&T - (CART 4)  BAYSIDE BREWS [145092],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1407,5452,AT&T - (CART 5)  FRESH POPCORN [145093],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1408,5453,AT&T - (CART 6)  BAYSIDE BREWS,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1409,5454,AT&T - (CART 36) BAYSIDE BREWS [145123],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1410,5455,AT&T -  CARVERY STAND-FIELD LEVEL,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.778382,-122.391151
1411,5456,AT&T - (CART 38) NACHOS-COMPADRE,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1412,5457,AT&T - (CART 39) DOGGIE DINER V [145126],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1413,5458,AT&T - (CART 40) BAYSIDE BREWS V,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
1414,5459,AT&T - CART 41 NACHOS-COMPADRES,24 WILLIE MAYS PL ,San Francisco,CA,94107,37.7779716,-122.3888595
1415,5460,AT&T - (CART 42) FRESH POPCORN [145129],24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,37.7779716,-122.3888595
