tract,hh_type1_h,hh_type1_t
6075022903,27.28341,10.39149
6075023001,27.84956,11.62538
6075023003,30.31704,11.89487
6075023102,25.55105,11.3531
6075023103,19.08369,11.82686
6075023200,27.61674,12.21136
6075023300,29.01913,12.84838
6075023400,27.51281,12.4344
6075025100,29.47956,10.96719
6075025200,28.79228,10.94357
6075025300,28.33377,10.47685
6075025401,27.55139,11.20048
6075025402,29.05354,11.10269
6075025403,28.39431,11.54851
6075025500,28.90728,11.9215
6075025600,30.27544,12.07307
6075025701,28.42306,12.12444
6075025702,28.34834,11.94801
6075025800,29.93867,11.36121
6075025900,29.40845,12.59032
6075026001,28.04252,11.83062
6075026002,29.72641,12.37135
6075026003,29.10723,12.03999
6075026004,30.93072,11.89971
6075026100,28.79242,11.8077
6075026200,29.31624,12.14465
6075026301,27.28089,11.7933
6075026302,27.31705,12.72933
6075026303,29.27531,12.57683
6075026401,29.35818,12.31679
6075026402,29.63943,12.4062
6075026403,27.39463,12.25564
6075026404,27.72547,11.67189
6075030101,35.64796,9.86908
6075030102,34.77898,11.98515
6075030201,31.11579,10.16108
6075030202,30.56671,9.8884
6075030301,32.22051,11.58325
6075030302,30.44742,12.38073
6075030400,32.36847,12.82486
6075030500,34.59936,13.58891
6075030600,36.83358,13.15657
6075030700,32.67189,12.80437
6075030800,33.48894,13.26969
6075030900,35.44611,13.96978
6075031000,30.93345,13.07971
6075031100,28.04225,11.77793
6075031201,29.86087,12.04829
6075031202,29.02588,12.33802
6075031301,32.92274,12.61406
6075031302,28.55438,12.00297
6075031400,27.01035,12.49877
6075032601,26.76226,10.78677
6075032602,29.32111,11.38034
6075032700,29.92712,11.88037
6075032801,28.42465,12.23757
6075032802,30.98157,11.94676
6075032901,31.50318,12.35165
6075032902,30.59657,12.1877
6075033000,29.83565,12.81275
6075033100,30.74889,13.51211
6075033201,22.82368,11.5087
6075033203,21.63763,10.36559
6075033204,27.81153,9.96862
6075035100,28.67732,11.97947
6075035201,31.01679,12.48533
6075035202,24.8464,11.15584
6075035300,30.27638,12.43273
6075035400,30.12563,12.28747
6075040100,33.43852,10.13237
6075040200,34.32803,10.54114
6075042601,32.46015,10.43387
6075042602,28.81689,10.51865
6075042700,29.55304,10.5653
6075042800,36.67367,13.43351
6075045100,35.44412,9.94194
6075045200,35.77116,10.32726
6075047600,30.19998,10.57588
6075047701,28.12872,10.61075
6075047702,30.48171,11.23545
6075047801,30.84245,11.70134
6075047802,27.39356,11.08201
6075047901,28.00551,12.10357
6075047902,27.75245,11.61888
6075060100,23.81872,12.33065
6075060400,21.44402,12.24691
6075060502,20.45334,11.08464
6075060700,27.50682,9.85738
6075061000,27.91061,13.07387
6075061100,22.37387,6.73211
6075061200,25.23949,11.3193
6075061400,29.07068,10.62655
6075061500,36.63323,9.20022
6075980200,27.32339,14.07837
6075980300,27.20806,11.32986
6075980501,21.92836,12.74258
6075980600,28.4698,13.83903
6075980900,21.05417,11.2592
6081600100,32.40318,13.43198
6081600200,28.58398,13.23225
6081600300,30.06435,14.49564
6081600401,29.77138,12.3668
6081600402,30.42045,12.5312
6081600500,30.31582,12.55711
6081600600,29.16263,12.24128
6081600700,29.33661,11.87582
6081600800,26.70564,9.85019
6081600900,28.92028,14.61782
6081601000,31.58135,14.91814
6081601100,29.83023,14.05507
6081601200,30.41468,13.4211
6081601300,25.539,10.95589
6081601400,30.13839,13.69481
6081601501,30.77537,14.23031
6081601502,29.93802,11.29768
6081601601,29.79177,14.03035
6081601603,29.46343,13.7006
6081601604,29.6689,12.75664
6081601605,31.17274,14.56369
6081601700,31.16907,14.48104
6081601800,30.31899,14.47808
6081601901,28.53832,13.03674
6081601902,29.22871,12.10181
6081602000,30.27982,14.34275
6081602100,29.57094,11.43702
6081602200,27.53959,10.9196
6081602300,31.11955,14.81115
6081602400,30.07716,13.60185
6081602500,35.49426,15.0121
6081602600,33.00061,13.25185
6081602700,29.31975,14.00471
6081602800,30.88442,14.45171
6081602900,25.66112,13.63322
6081603000,26.74246,13.79233
6081603100,29.5684,16.24446
6081603200,28.29933,15.8026
6081603300,30.27811,16.40265
6081603400,30.31362,16.1507
6081603700,29.63236,15.20726
6081603801,32.14171,11.32977
6081603802,29.21808,14.83254
6081603900,28.46981,13.66447
6081604000,31.30505,14.66377
6081604101,24.58595,11.67372
6081604102,22.69911,11.76993
6081604200,28.38905,13.6433
6081604400,28.75845,12.48867
6081604500,28.84681,14.48006
